model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample,score
RandomForest,500,0.1,0,,sqrt,1.0,2.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,1.0,,,,0.9824253393665159
RandomForest,500,0.1,1,,sqrt,1.0,2.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,2,,sqrt,1.0,2.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,3,,sqrt,1.0,5.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.1,4,,sqrt,1.0,5.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,5,,sqrt,1.0,5.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,6,,sqrt,2.0,2.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9967999999999999,,,,0.9821053393665159
RandomForest,500,0.1,7,,sqrt,2.0,2.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,8,,sqrt,2.0,2.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9967999999999999,,,,0.9821053393665159
RandomForest,500,0.1,9,,sqrt,2.0,5.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.992,,,,0.981625339366516
RandomForest,500,0.1,10,,sqrt,2.0,5.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.1,11,,sqrt,2.0,5.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.1,12,10.0,sqrt,1.0,2.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,13,10.0,sqrt,1.0,2.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,14,10.0,sqrt,1.0,2.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,15,10.0,sqrt,1.0,5.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9967999999999999,,,,0.9821053393665159
RandomForest,500,0.1,16,10.0,sqrt,1.0,5.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,17,10.0,sqrt,1.0,5.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,18,10.0,sqrt,2.0,2.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.1,19,10.0,sqrt,2.0,2.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,20,10.0,sqrt,2.0,2.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.1,21,10.0,sqrt,2.0,5.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.992,,,,0.981625339366516
RandomForest,500,0.1,22,10.0,sqrt,2.0,5.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.1,23,10.0,sqrt,2.0,5.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.1,24,20.0,sqrt,1.0,2.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,1.0,,,,0.9824253393665159
RandomForest,500,0.1,25,20.0,sqrt,1.0,2.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,26,20.0,sqrt,1.0,2.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,27,20.0,sqrt,1.0,5.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.1,28,20.0,sqrt,1.0,5.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,29,20.0,sqrt,1.0,5.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,30,20.0,sqrt,2.0,2.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9967999999999999,,,,0.9821053393665159
RandomForest,500,0.1,31,20.0,sqrt,2.0,2.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984,,,,0.9822653393665159
RandomForest,500,0.1,32,20.0,sqrt,2.0,2.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9967999999999999,,,,0.9821053393665159
RandomForest,500,0.1,33,20.0,sqrt,2.0,5.0,100,0.98,0.9615384615384616,1.0,0.9803921568627451,0.992,,,,0.981625339366516
RandomForest,500,0.1,34,20.0,sqrt,2.0,5.0,200,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.1,35,20.0,sqrt,2.0,5.0,300,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9968,,,,0.9821053393665159
RandomForest,500,0.2,0,,sqrt,1.0,2.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9964000000000001,,,,0.9728859716559892
RandomForest,500,0.2,1,,sqrt,1.0,2.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9972000000000001,,,,0.9729659716559893
RandomForest,500,0.2,2,,sqrt,1.0,2.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.998,,,,0.9730459716559893
RandomForest,500,0.2,3,,sqrt,1.0,5.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.998,,,,0.9730459716559893
RandomForest,500,0.2,4,,sqrt,1.0,5.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9964,,,,0.9728859716559892
RandomForest,500,0.2,5,,sqrt,1.0,5.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9964,,,,0.9728859716559892
RandomForest,500,0.2,6,,sqrt,2.0,2.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.996,,,,0.9728459716559893
RandomForest,500,0.2,7,,sqrt,2.0,2.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9952000000000001,,,,0.9727659716559893
RandomForest,500,0.2,8,,sqrt,2.0,2.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9947999999999999,,,,0.9727259716559893
RandomForest,500,0.2,9,,sqrt,2.0,5.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9972,,,,0.9729659716559893
RandomForest,500,0.2,10,,sqrt,2.0,5.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9952000000000001,,,,0.9727659716559893
RandomForest,500,0.2,11,,sqrt,2.0,5.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9952000000000001,,,,0.9727659716559893
RandomForest,500,0.2,12,10.0,sqrt,1.0,2.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9966,,,,0.9729059716559892
RandomForest,500,0.2,13,10.0,sqrt,1.0,2.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9972,,,,0.9729659716559893
RandomForest,500,0.2,14,10.0,sqrt,1.0,2.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.998,,,,0.9730459716559893
RandomForest,500,0.2,15,10.0,sqrt,1.0,5.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9984,,,,0.9730859716559893
RandomForest,500,0.2,16,10.0,sqrt,1.0,5.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9960000000000001,,,,0.9728459716559893
RandomForest,500,0.2,17,10.0,sqrt,1.0,5.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9964,,,,0.9728859716559892
RandomForest,500,0.2,18,10.0,sqrt,2.0,2.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9952,,,,0.9727659716559893
RandomForest,500,0.2,19,10.0,sqrt,2.0,2.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9948,,,,0.9727259716559893
RandomForest,500,0.2,20,10.0,sqrt,2.0,2.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9947999999999999,,,,0.9727259716559893
RandomForest,500,0.2,21,10.0,sqrt,2.0,5.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9968,,,,0.9729259716559893
RandomForest,500,0.2,22,10.0,sqrt,2.0,5.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9952,,,,0.9727659716559893
RandomForest,500,0.2,23,10.0,sqrt,2.0,5.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9952000000000001,,,,0.9727659716559893
RandomForest,500,0.2,24,20.0,sqrt,1.0,2.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9964000000000001,,,,0.9728859716559892
RandomForest,500,0.2,25,20.0,sqrt,1.0,2.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9972000000000001,,,,0.9729659716559893
RandomForest,500,0.2,26,20.0,sqrt,1.0,2.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.998,,,,0.9730459716559893
RandomForest,500,0.2,27,20.0,sqrt,1.0,5.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.998,,,,0.9730459716559893
RandomForest,500,0.2,28,20.0,sqrt,1.0,5.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9964,,,,0.9728859716559892
RandomForest,500,0.2,29,20.0,sqrt,1.0,5.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9964,,,,0.9728859716559892
RandomForest,500,0.2,30,20.0,sqrt,2.0,2.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.996,,,,0.9728459716559893
RandomForest,500,0.2,31,20.0,sqrt,2.0,2.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9952000000000001,,,,0.9727659716559893
RandomForest,500,0.2,32,20.0,sqrt,2.0,2.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9947999999999999,,,,0.9727259716559893
RandomForest,500,0.2,33,20.0,sqrt,2.0,5.0,100,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9972,,,,0.9729659716559893
RandomForest,500,0.2,34,20.0,sqrt,2.0,5.0,200,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9952000000000001,,,,0.9727659716559893
RandomForest,500,0.2,35,20.0,sqrt,2.0,5.0,300,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9952000000000001,,,,0.9727659716559893
RandomForest,500,0.3,0,,sqrt,1.0,2.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9860444444444444,,,,0.9511612911065543
RandomForest,500,0.3,1,,sqrt,1.0,2.0,200,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9881777777777778,,,,0.9513746244398876
RandomForest,500,0.3,2,,sqrt,1.0,2.0,300,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.9875555555555555,,,,0.9513124022176654
RandomForest,500,0.3,3,,sqrt,1.0,5.0,100,0.9466666666666667,0.935064935064935,0.96,0.9473684210526315,0.989688888888889,,,,0.9515257355509987
