model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample
RandomForest,2000,0.1,0,,sqrt,1.0,2.0,100,0.99,0.99,0.99,0.99,0.9979,,,
RandomForest,2000,0.1,1,,sqrt,1.0,2.0,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.99815,,,
RandomForest,2000,0.1,2,,sqrt,1.0,2.0,300,0.99,0.99,0.99,0.99,0.9981,,,
RandomForest,2000,0.1,3,,sqrt,1.0,5.0,100,0.99,0.99,0.99,0.99,0.9974000000000001,,,
RandomForest,2000,0.1,4,,sqrt,1.0,5.0,200,0.99,0.99,0.99,0.99,0.9981,,,
RandomForest,2000,0.1,5,,sqrt,1.0,5.0,300,0.99,0.99,0.99,0.99,0.9982,,,
RandomForest,2000,0.1,6,,sqrt,2.0,2.0,100,0.99,0.99,0.99,0.99,0.9983,,,
RandomForest,2000,0.1,7,,sqrt,2.0,2.0,200,0.99,0.99,0.99,0.99,0.9982,,,
RandomForest,2000,0.1,8,,sqrt,2.0,2.0,300,0.99,0.99,0.99,0.99,0.9984999999999999,,,
RandomForest,2000,0.1,9,,sqrt,2.0,5.0,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9979,,,
RandomForest,2000,0.1,10,,sqrt,2.0,5.0,200,0.99,0.99,0.99,0.99,0.9973,,,
RandomForest,2000,0.1,11,,sqrt,2.0,5.0,300,0.99,0.99,0.99,0.99,0.9971,,,
RandomForest,2000,0.1,12,10.0,sqrt,1.0,2.0,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9984,,,
RandomForest,2000,0.1,13,10.0,sqrt,1.0,2.0,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9978,,,
RandomForest,2000,0.1,14,10.0,sqrt,1.0,2.0,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9978999999999999,,,
RandomForest,2000,0.1,15,10.0,sqrt,1.0,5.0,100,0.99,0.99,0.99,0.99,0.997,,,
RandomForest,2000,0.1,16,10.0,sqrt,1.0,5.0,200,0.99,0.99,0.99,0.99,0.9961,,,
RandomForest,2000,0.1,17,10.0,sqrt,1.0,5.0,300,0.99,0.99,0.99,0.99,0.9963,,,
